10/28/2020,AK,71,434,No Data,14131
10/27/2020,AK,70,425,No Data,13779
10/26/2020,AK,68,424,No Data,13391
10/25/2020,AK,68,421,No Data,13041
10/24/2020,AK,68,419,No Data,12523
10/23/2020,AK,68,415,No Data,12167
10/22/2020,AK,68,401,No Data,11919
10/21/2020,AK,68,395,No Data,11680
10/20/2020,AK,67,389,No Data,11456
10/19/2020,AK,67,387,No Data,11225
10/18/2020,AK,67,383,No Data,11021
10/17/2020,AK,67,377,No Data,10811
10/16/2020,AK,66,373,No Data,10601
10/15/2020,AK,65,365,No Data,10380
10/14/2020,AK,64,356,No Data,10214
10/13/2020,AK,60,355,No Data,10059
10/12/2020,AK,60,352,No Data,9903
10/11/2020,AK,60,345,No Data,9712
10/10/2020,AK,60,341,No Data,9462
10/9/2020,AK,60,339,No Data,9232
10/8/2020,AK,60,337,No Data,9045
10/7/2020,AK,59,333,No Data,8911
10/6/2020,AK,58,328,No Data,8790
10/5/2020,AK,58,325,No Data,8643
10/4/2020,AK,58,324,No Data,8447
10/3/2020,AK,58,322,No Data,8306
10/2/2020,AK,57,320,No Data,8167
10/1/2020,AK,57,317,No Data,8026
9/30/2020,AK,56,315,No Data,7889
9/29/2020,AK,56,313,No Data,7785
9/28/2020,AK,56,309,No Data,7663
9/27/2020,AK,56,308,No Data,7549
9/26/2020,AK,52,304,No Data,7439
9/25/2020,AK,51,302,No Data,7320
9/24/2020,AK,45,300,No Data,7194
9/23/2020,AK,45,296,No Data,7063
9/22/2020,AK,45,295,No Data,6987
9/21/2020,AK,45,292,No Data,6930
9/20/2020,AK,45,287,No Data,6860
9/19/2020,AK,45,283,No Data,6752
9/18/2020,AK,45,283,No Data,6658
9/17/2020,AK,44,280,No Data,6551
9/16/2020,AK,44,279,No Data,6443
9/15/2020,AK,44,278,No Data,6393
9/14/2020,AK,44,275,No Data,6350
9/13/2020,AK,44,272,No Data,6275
9/12/2020,AK,44,271,No Data,6214
9/11/2020,AK,43,270,No Data,6111
9/10/2020,AK,42,270,No Data,6022
9/9/2020,AK,42,268,No Data,5908
9/8/2020,AK,42,265,No Data,5843
9/7/2020,AK,42,260,No Data,5810
9/6/2020,AK,42,256,No Data,5776
9/5/2020,AK,42,256,No Data,5681
9/4/2020,AK,40,252,No Data,5594
9/3/2020,AK,40,252,No Data,5475
9/2/2020,AK,39,247,No Data,5387
9/1/2020,AK,39,246,No Data,5321
8/31/2020,AK,37,241,No Data,5286
8/30/2020,AK,37,241,No Data,5250
8/29/2020,AK,37,240,No Data,5207
8/28/2020,AK,37,239,No Data,5114
8/27/2020,AK,37,236,No Data,4998
8/26/2020,AK,37,235,No Data,4914
8/25/2020,AK,36,233,No Data,4862
8/24/2020,AK,32,228,No Data,4829
8/23/2020,AK,32,225,No Data,4758
8/22/2020,AK,31,223,No Data,4692
